"electrical_system","io_list","tag","name","mqtt_topic","mqtt_json_path","group","domestic","hvac","technical","part_no","additional_info","preferred_mqtt_topic","preferred_mqtt_json_path"
"230V AC - Powertags","AMCS","PT109F01_Total_Active_Power","Iridium GMDSS Supply Total Active Power","AC DISTR 10P0.1","$.PT109F01_Total_Active_Power","Technical","","","NavComm","","Global Maritime Distress and Safety System","marpower/power-tag/iridium-gmdss-supply","total_active_power"
"230V AC - Powertags","AMCS","PT129F01_Total_Active_Power","Main Propulsion Unit Offline Filter Total Active Power","AC DISTR 10P0.1","$.PT129F01_Total_Active_Power","Propulsion","","","","","","marpower/power-tag/main-propulsion-unit-offline-filter","total_active_power"
"230V AC - Powertags","AMCS","PT130F01_Total_Active_Power","AHU Owners State Room Total Active Power","AC DISTR 10P0.1","$.PT130F01_Total_Active_Power","HVAC","","Air handling units","","","","marpower/power-tag/ahu-owners-state-room","total_active_power"
"230V AC - Powertags","AMCS","PT132F01_Total_Active_Power","EREC 1 Power Supply Heat Recovery Total Active Power","AC DISTR 10P0.1","$.PT132F01_Total_Active_Power","Technical","","","THRS","","","marpower/power-tag/erec-1-power-supply-heat-recovery","total_active_power"
"230V AC - Powertags","AMCS","PT135F01_Total_Active_Power","AHU Owners State Room Total Active Power","AC DISTR 10P0.1","$.PT135F01_Total_Active_Power","HVAC","","Air handling units","","","","marpower/power-tag/ahu-owners-state-room","total_active_power"
"230V AC - Powertags","AMCS","PT137F01_Total_Active_Power","Main Propulsion Unit AC Heating Total Active Power","AC DISTR 10P0.1","$.PT137F01_Total_Active_Power","Propulsion","","","","","","marpower/power-tag/main-propulsion-unit-ac-heating","total_active_power"
"230V AC - Powertags","AMCS","PT138F01_Total_Active_Power","Potable Water Total Active Power","AC DISTR 10P0.1","$.PT138F01_Total_Active_Power","Technical","","","Fresh water","","","marpower/power-tag/potable-water","total_active_power"
"230V AC - Powertags","AMCS","PT139F01_Total_Active_Power","Drain Pump 1 PS Deck Locker Total Active Power","AC DISTR 10P0.1","$.PT139F01_Total_Active_Power","Technical","","","Grey water","","","marpower/power-tag/drain-pump-1-ps-deck-locker","total_active_power"
"230V AC - Powertags","AMCS","PT140F01_Total_Active_Power","Drain Pump 3 PS Deck Locker Total Active Power","AC DISTR 10P0.1","$.PT140F01_Total_Active_Power","Technical","","","Grey water","","","marpower/power-tag/drain-pump-3-ps-deck-locker","total_active_power"
"230V AC - Powertags","AMCS","PT141F01_Total_Active_Power","Bilge Water Separator Total Active Power","AC DISTR 10P0.1","$.PT141F01_Total_Active_Power","Technical","","","Grey water","","","marpower/power-tag/bilge-water-separator","total_active_power"
"230V AC - Powertags","AMCS","PT142F01_Total_Active_Power","Draink Tank Mast Total Active Power","AC DISTR 10P0.1","$.PT142F01_Total_Active_Power","Technical","","","Grey water","","","marpower/power-tag/draink-tank-mast","total_active_power"
"230V AC - Powertags","AMCS","PT143F01_Total_Active_Power","Draink Tank Mast Total Active Power","AC DISTR 10P0.1","$.PT143F01_Total_Active_Power","Technical","","","Grey water","","","marpower/power-tag/draink-tank-mast","total_active_power"
"230V AC - Powertags","AMCS","PT144F01_Total_Active_Power","Draink Tank Mast Total Active Power","AC DISTR 10P0.1","$.PT144F01_Total_Active_Power","Technical","","","Grey water","","","marpower/power-tag/draink-tank-mast","total_active_power"
"230V AC - Powertags","AMCS","PT145F01_Total_Active_Power","Draink Tank Mast Total Active Power","AC DISTR 10P0.1","$.PT145F01_Total_Active_Power","Technical","","","Grey water","","","marpower/power-tag/draink-tank-mast","total_active_power"
"230V AC - Powertags","AMCS","PT146F01_Total_Active_Power","Watermaker Total Active Power","AC DISTR 10P0.1","$.PT146F01_Total_Active_Power","Technical","","","Fresh water","","","marpower/power-tag/watermaker","total_active_power"
"230V AC - Powertags","AMCS","PT147F01_Total_Active_Power","Discharge Pumps Aft Technical Water Total Active Power","AC DISTR 10P0.1","$.PT147F01_Total_Active_Power","Technical","","","Grey water","","","marpower/power-tag/discharge-pumps-aft-technical-water","total_active_power"
"230V AC - Powertags","AMCS","PT148F01_Total_Active_Power","Co2 Total Active Power","AC DISTR 10P0.1","$.PT148F01_Total_Active_Power","Technical","","","","","","marpower/power-tag/co2","total_active_power"
"230V AC - Powertags","AMCS","PT149F01_Total_Active_Power","Antifouling System Total Active Power","AC DISTR 10P0.1","$.PT149F01_Total_Active_Power","Technical","","","Technical","","","marpower/power-tag/antifouling-system","total_active_power"
"230V AC - Powertags","AMCS","PT150F01_Total_Active_Power","Adsorption Unit Total Active Power","AC DISTR 10P0.1","$.PT150F01_Total_Active_Power","Technical","","","THRS","","","marpower/power-tag/adsorption-unit","total_active_power"
"230V AC - Powertags","AMCS","PT152F01_Total_Active_Power","Hydrophore 1 Total Active Power","AC DISTR 10P0.1","$.PT152F01_Total_Active_Power","Technical","","","Fresh water","","","marpower/power-tag/hydrophore-1","total_active_power"
"230V AC - Powertags","AMCS","PT153F01_Total_Active_Power","Hydrophore 1 Total Active Power","AC DISTR 10P0.1","$.PT153F01_Total_Active_Power","Technical","","","Fresh water","","","marpower/power-tag/hydrophore-1","total_active_power"
"230V AC - Powertags","AMCS","PT154F01_Total_Active_Power","Circulation Pump Adiabtic Pump Total Active Power","AC DISTR 10P0.1","$.PT154F01_Total_Active_Power","HVAC","","Other","","","","marpower/power-tag/circulation-pump-adiabtic-pump","total_active_power"
