"mqtt_topic","mqtt_json_path","device","tag","yard_tag","target_type","terminal","cabinet","system","description","unit","precision","data_type"
"marpower/pvt/pvt1","total_active_power","PVT","PVT1_Total_Active_Power",,"Float",,"+CB.2","PVT","PVT1 Total Active Power","-",,"REAL"
"marpower/pvt/pvt1","total_power_factor","PVT","PVT1_Total_Power_Factor",,"Float",,"+CB.2","PVT","PVT1 Total Power Factor","-",,"REAL"
"marpower/pvt/pvt2","total_active_power","PVT","PVT2_Total_Active_Power",,"Float",,"+CB.2","PVT","PVT2 Total Active Power","-",,"REAL"
"marpower/pvt/pvt2","total_power_factor","PVT","PVT2_Total_Power_Factor",,"Float",,"+CB.2","PVT","PVT2 Total Power Factor","-",,"REAL"
"marpower/pvt/pvt3","total_active_power","PVT","PVT3_Total_Active_Power",,"Float",,"+CB.2","PVT","PVT3 Total Active Power","-",,"REAL"
"marpower/pvt/pvt3","total_power_factor","PVT","PVT3_Total_Power_Factor",,"Float",,"+CB.2","PVT","PVT3 Total Power Factor","-",,"REAL"
"marpower/shore-power","total_active_power","Shore power","SHORE1_Total_Active_Power",,"Float",,"+CB.2","Shore power","Shore power Total Active Power","-",,"REAL"
"marpower/shore-power","total_power_factor","Shore power","SHORE1_Total_Power_Factor",,"Float",,"+CB.2","Shore power","Shore power Total Power Factor","-",,"REAL"
"marpower/hydrogeneration/thruster1","total_active_power","Hydrogeneration","HYDRO1_Total_Active_Power",,"Float",,"+CB.2","Hydrogeneration","Thruster1 Total Active Power","-",,"REAL"
"marpower/hydrogeneration/thruster1","total_power_factor","Hydrogeneration","HYDRO1_Total_Power_Factor",,"Float",,"+CB.2","Hydrogeneration","Thruster1 Total Power Factor","-",,"REAL"
"marpower/hydrogeneration/thruster2","total_active_power","Hydrogeneration","HYDRO2_Total_Active_Power",,"Float",,"+CB.2","Hydrogeneration","Thruster2 Total Active Power","-",,"REAL"
"marpower/hydrogeneration/thruster2","total_power_factor","Hydrogeneration","HYDRO2_Total_Power_Factor",,"Float",,"+CB.2","Hydrogeneration","Thruster2 Total Power Factor","-",,"REAL"
"marpower/battery-dc-converter/brightloop1","voltage_a","Brightloop","BL1_Voltage_A",,"Float",,"+CB.2","Batteries","Brightloop1 Voltage side A","-",,"REAL"
"marpower/battery-dc-converter/brightloop1","voltage_b","Brightloop","BL1_Voltage_B",,"Float",,"+CB.2","Batteries","Brightloop1 Voltage side B","-",,"REAL"
"marpower/battery-dc-converter/brightloop1","current_a","Brightloop","BL1_Current_A",,"Float",,"+CB.2","Batteries","Brightloop1 Current side A","-",,"REAL"
"marpower/battery-dc-converter/brightloop1","current_b","Brightloop","BL1_Current_B",,"Float",,"+CB.2","Batteries","Brightloop1 Current side B","-",,"REAL"
"marpower/battery-dc-converter/brightloop2","voltage_a","Brightloop","BL2_Voltage_A",,"Float",,"+CB.2","Batteries","Brightloop2 Voltage side A","-",,"REAL"
"marpower/battery-dc-converter/brightloop2","voltage_b","Brightloop","BL2_Voltage_B",,"Float",,"+CB.2","Batteries","Brightloop2 Voltage side B","-",,"REAL"
"marpower/battery-dc-converter/brightloop2","current_a","Brightloop","BL2_Current_A",,"Float",,"+CB.2","Batteries","Brightloop2 Current side A","-",,"REAL"
