"electrical_system","io_list","name","mqtt_topic","mqtt_json_path","group","domestic","hvac","system","part_no","additional_info","preferred_mqtt_topic","preferred_mqtt_json_path"
"230V AC - Powertags","AMCS","Iridium GMDSS Supply Total Active Power","AC DISTR 10P0.1","$.PT109F01_Total_Active_Power","Systems","","","NavComm","","Global Maritime Distress and Safety System","power_tag/iridium_gmdss_supply","total_reactive_power"
"230V AC - Powertags","AMCS","Main Propulsion Unit Offline Filter Total Active Power","AC DISTR 10P0.1","$.PT129F01_Total_Active_Power","Propulsion","","","","","","power_tag/main_propulsion_unit_offline_filter","total_reactive_power"
"230V AC - Powertags","AMCS","AHU Owners State Room Total Active Power","AC DISTR 10P0.1","$.PT130F01_Total_Active_Power","HVAC","","Air handling units","","","","power_tag/ahu_owners_state_room","total_reactive_power"
"230V AC - Powertags","AMCS","EREC 1 Power Supply Heat Recovery Total Active Power","AC DISTR 10P0.1","$.PT132F01_Total_Active_Power","Systems","","","THRS","","","power_tag/erec_1_power_supply_heat_recovery","total_reactive_power"
"230V AC - Powertags","AMCS","AHU Owners State Room Total Active Power","AC DISTR 10P0.1","$.PT135F01_Total_Active_Power","HVAC","","Air handling units","","","","power_tag/ahu_owners_state_room","total_reactive_power"
"230V AC - Powertags","AMCS","Main Propulsion Unit AC Heating Total ACtive Power","AC DISTR 10P0.1","$.PT137F01_Total_Active_Power","Propulsion","","","","","","power_tag/main_propulsion_unit_ac_heating_total_active_power","total_reactive_power"
"230V AC - Powertags","AMCS","Potable Water Total Active Power","AC DISTR 10P0.1","$.PT138F01_Total_Active_Power","Systems","","","Fresh water","","","power_tag/potable_water","total_reactive_power"
"230V AC - Powertags","AMCS","Drain Pump 1 PS Deck Locker Total Active Power","AC DISTR 10P0.1","$.PT139F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/drain_pump_1_ps_deck_locker","total_reactive_power"
"230V AC - Powertags","AMCS","Drain Pump 3 PS Deck Locker Total Active Power","AC DISTR 10P0.1","$.PT140F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/drain_pump_3_ps_deck_locker","total_reactive_power"
"230V AC - Powertags","AMCS","Bilge Water Separator Total Active Power","AC DISTR 10P0.1","$.PT141F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/bilge_water_separator","total_reactive_power"
"230V AC - Powertags","AMCS","Draink Tank Mast Total Active Power","AC DISTR 10P0.1","$.PT142F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/draink_tank_mast","total_reactive_power"
"230V AC - Powertags","AMCS","Draink Tank Mast Total Active Power","AC DISTR 10P0.1","$.PT143F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/draink_tank_mast","total_reactive_power"
"230V AC - Powertags","AMCS","Draink Tank Mast Total Active Power","AC DISTR 10P0.1","$.PT144F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/draink_tank_mast","total_reactive_power"
"230V AC - Powertags","AMCS","Draink Tank Mast Total Active Power","AC DISTR 10P0.1","$.PT145F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/draink_tank_mast","total_reactive_power"
"230V AC - Powertags","AMCS","Watermaker Total Active Power","AC DISTR 10P0.1","$.PT146F01_Total_Active_Power","Systems","","","Fresh water","","","power_tag/watermaker","total_reactive_power"
"230V AC - Powertags","AMCS","Discharge Pumps Aft Technical Water Total Active Power","AC DISTR 10P0.1","$.PT147F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/discharge_pumps_aft_technical_water","total_reactive_power"
"230V AC - Powertags","AMCS","Co2 Total Active Power","AC DISTR 10P0.1","$.PT148F01_Total_Active_Power","Systems","","","","","","power_tag/co2","total_reactive_power"
"230V AC - Powertags","AMCS","Antifouling System Total Active Power","AC DISTR 10P0.1","$.PT149F01_Total_Active_Power","Systems","","","Technical","","","power_tag/antifouling_system","total_reactive_power"
"230V AC - Powertags","AMCS","Adsorption Unit Total Active Power","AC DISTR 10P0.1","$.PT150F01_Total_Active_Power","Systems","","","THRS","","","power_tag/adsorption_unit","total_reactive_power"
"230V AC - Powertags","AMCS","Hydrophore 1 Total Active Power","AC DISTR 10P0.1","$.PT152F01_Total_Active_Power","Systems","","","Fresh water","","","power_tag/hydrophore_1","total_reactive_power"
"230V AC - Powertags","AMCS","Hydrophore 1 Total Active Power","AC DISTR 10P0.1","$.PT153F01_Total_Active_Power","Systems","","","Fresh water","","","power_tag/hydrophore_1","total_reactive_power"
"230V AC - Powertags","AMCS","Circulation Pump Adiabtic Pump Total Active Power","AC DISTR 10P0.1","$.PT154F01_Total_Active_Power","HVAC","","Other","","","","power_tag/circulation_pump_adiabtic_pump","total_reactive_power"
"230V AC - Powertags","AMCS","Main Salon JB Total Active Power","AC DISTR 10P0.1","$.PT161F01_Total_Active_Power","Domestic","Guest area","","","","Junction Box: Refrigerator, whine cooler","power_tag/main_salon_jb","total_reactive_power"
"230V AC - Powertags","AMCS","Distrbution Panel 115V Total Active Power","AC DISTR 10P0.1","$.PT164F01_Total_Active_Power","Systems","","","Technical","","","power_tag/distrbution_panel_115v","total_reactive_power"
"230V AC - Powertags","AMCS","Discharge Pump Master Cabin PS Total Active Power","AC DISTR 10P0.1","$.PT165F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/discharge_pump_master_cabin_ps","total_reactive_power"
"230V AC - Powertags","AMCS","Discharge Pump Guest PS Total Active Power","AC DISTR 10P0.1","$.PT166F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/discharge_pump_guest_ps","total_reactive_power"
"230V AC - Powertags","AMCS","Discharge Pump Guest PS And Overflow Total Active Power","AC DISTR 10P0.1","$.PT167F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/discharge_pump_guest_ps_and_overflow","total_reactive_power"
"230V AC - Powertags","AMCS","Charger Radio Batteries (GMDSS) Total Active Power","AC DISTR 10P0.1","$.PT168F01_Total_Active_Power","Systems","","","NavComm","","Global Maritime Distress and Safety System","power_tag/charger_radio_batteries_gmdss","total_reactive_power"
"230V AC - Powertags","AMCS","Underwater Lights PS (Group 1) Total Active Power","AC DISTR 10P0.1","$.PT169F01_Total_Active_Power","Systems","","","Lighting","","","power_tag/underwater_lights_ps_group_1","total_reactive_power"
"230V AC - Powertags","AMCS","Underwater Lights PS (Group 2) Total Active Power","AC DISTR 10P0.1","$.PT170F01_Total_Active_Power","Systems","","","Lighting","","","power_tag/underwater_lights_ps_group_2","total_reactive_power"
"230V AC - Powertags","AMCS","AHU EXH2000 Above Laundry Total Active Power","AC DISTR 10P0.1","$.PT171F01_Total_Active_Power","HVAC","","Air handling units","","","","power_tag/ahu_exh2000_above_laundry","total_reactive_power"
"230V AC - Powertags","AMCS","Discharge Pump Galley/Crew Mess Total Active Power","AC DISTR 10P0.1","$.PT172F01_Total_Active_Power","Systems","","","Grey water","","","power_tag/discharge_pump_galley_crew_mess","total_reactive_power"
"230V AC - Powertags","AMCS","Display Switching Ship Office Total Active Power","AC DISTR 10P0.1","$.PT175F01_Total_Active_Power","Systems","","","Technical","","","power_tag/display_switching_ship_office","total_reactive_power"
"230V AC - Powertags","AMCS","Display Switching Supply Helm PS Total Active Power","AC DISTR 10P0.1","$.PT176F01_Total_Active_Power","Systems","","","Technical","","","power_tag/display_switching_supply_helm_ps","total_reactive_power"
"230V AC - Powertags","AMCS","ECDIS 1 Total Active Power","AC DISTR 10P0.1","$.PT177F01_Total_Active_Power","Systems","","","NavComm","","Electronic Chart Display and Information System","power_tag/ecdis_1","total_reactive_power"
"230V AC - Powertags","AMCS","Radar 1 Total Active Power","AC DISTR 10P0.1","$.PT178F01_Total_Active_Power","Systems","","","NavComm","","","power_tag/radar_1","total_reactive_power"
"230V AC - Powertags","AMCS","Speedlog Total Active Power","AC DISTR 10P0.1","$.PT179F01_Total_Active_Power","Systems","","","NavComm","","","power_tag/speedlog","total_reactive_power"
"230V AC - Powertags","AMCS","VHF 1 (Main) Total Active Power","AC DISTR 10P0.1","$.PT180F01_Total_Active_Power","Systems","","","NavComm","","","power_tag/vhf_1_main","total_reactive_power"
"230V AC - Powertags","AMCS","AHU Technical Room Total Active Power","AC DISTR 10P0.1","$.PT181F01_Total_Active_Power","HVAC","","Air handling units","","","","power_tag/ahu_technical_room","total_reactive_power"
"230V AC - Powertags","AMCS","Central Panel Smart Ventilation System Total Active Power","AC DISTR 10P0.1","$.PT182F01_Total_Active_Power","HVAC","","Ventilation","","","","power_tag/central_panel_smart_ventilation_system","total_reactive_power"
"230V AC - Powertags","AMCS","BNWAS Total Active Power","AC DISTR 10P0.1","$.PT183F01_Total_Active_Power","Systems","","","NavComm","","Bridge Navigational Watch Alarm System","power_tag/bnwas","total_reactive_power"
"230V AC - Powertags","AMCS","GPS Total Active Power","AC DISTR 10P0.1","$.PT184F01_Total_Active_Power","Systems","","","NavComm","","","power_tag/gps","total_reactive_power"
"230V AC - Powertags","AMCS","Locker Ventilation Total Active Power","AC DISTR 10P0.1","$.PT186F01_Total_Active_Power","HVAC","","Ventilation","","","","power_tag/locker_ventilation","total_reactive_power"
"230V AC - Powertags","AMCS","Peplink 5G Total Active Power","AC DISTR 10P0.1","$.PT201F01_Total_Active_Power","Systems","","","NavComm","","","power_tag/peplink_5g","total_reactive_power"
"230V AC - Powertags","AMCS","Transfer Pump 1 Grey/Black Water Total Active Power","AC DISTR 10P0.1","$.PT110Q01_Total_Active_Power","Systems","","","Grey water","","","power_tag/transfer_pump_1_grey_black_water","total_reactive_power"
"230V AC - Powertags","AMCS","Circulation Pump System Water Total Active Power","AC DISTR 10P0.1","$.PT116Q01_Total_Active_Power","Systems","","","Technical water","","","power_tag/circulation_pump_system_water","total_reactive_power"
"230V AC - Powertags","AMCS","Sea Water Cooling Pump 1 Total Active Power","AC DISTR 10P0.1","$.PT117Q01_Total_Active_Power","Systems","","","THRS","","","power_tag/sea_water_cooling_pump_1","total_reactive_power"
"230V AC - Powertags","AMCS","Technical Space Ventilator - In Total Active Power","AC DISTR 10P0.1","$.PT131Q01_Total_Active_Power","HVAC","","Ventilation","","","","power_tag/technical_space_ventilator_in","total_reactive_power"
"230V AC - Powertags","AMCS","Fresh Air Unit Aft Ship Total Active Power","AC DISTR 10P0.1","$.PT133Q01_Total_Active_Power","HVAC","","Other","","","","power_tag/fresh_air_unit_aft_ship","total_reactive_power"
"230V AC - Powertags","AMCS","Extraction Unit Aft Ship Total Active Power","AC DISTR 10P0.1","$.PT134Q01_Total_Active_Power","HVAC","","Other","","","","power_tag/extraction_unit_aft_ship","total_reactive_power"
"230V AC - Powertags","AMCS","Power Distr. Panel Aft -10P1 Total Active Power","AC DISTR 10P0.1","$.PT135Q01_Total_Active_Power","Systems","","","Technical","","","power_tag/power_distr_panel_aft_10p1","total_reactive_power"
"230V AC - Powertags","AMCS","Dishwasher Total Active Power","AC DISTR 10P0.1","$.PT136Q01_Total_Active_Power","Domestic","Galley","","","","","power_tag/dishwasher","total_reactive_power"
"230V AC - Powertags","AMCS","Cooling Water Pump Main Propulsion Unit Total Active Power","AC DISTR 10P0.1","$.PT151Q01_Total_Active_Power","Propulsion","","","","","","power_tag/cooling_water_pump_main_propulsion_unit","total_reactive_power"
"230V AC - Powertags","AMCS","Compressor 1 Total Active Power","AC DISTR 10P0.1","$.PT155Q01_Total_Active_Power","Systems","","","Technical","","","power_tag/compressor_1","total_reactive_power"
"230V AC - Powertags","AMCS","Heat Recovery Pump Compression Chiller Total Active Power","AC DISTR 10P0.1","$.PT156Q01_Total_Active_Power","Systems","","","THRS","","","power_tag/heat_recovery_pump_compression_chiller","total_reactive_power"
"230V AC - Powertags","AMCS","Circulation Pump PVT Panles Fwd Total Active Power","AC DISTR 10P0.1","$.PT157Q01_Total_Active_Power","Systems","","","THRS","","","power_tag/circulation_pump_pvt_panles_fwd","total_reactive_power"
