Variable key,Technical name,name in LC sheet by Stevo,Sailpack table name,Sailpack row label,Sailpack column label,Note on getting var from Sailpack
blade-tweaker-relative-position,blade-tweaker-relative-position,- Jib tweaker position (remap),CABLE DATA,CABLE_BLADE_UP_DOWN,Trimming value (N or m),
blade-sheet-feeder-load,blade-sheet-feeder-load,Jib sheet,CABLE DATA,CABLE_JIBSHEET,Load (N),
blade-adjuster-load,blade-adjuster-load,Main head stay,CABLE DATA,CABLE__FS,Load (N),
blade-cunningham-load,blade-cunningham-load,Jib tack,CABLE DATA,CABLE_BladeTACK,Load (N),
blade-cunningham-relative-position,blade-cunningham-relative-position,- Jib tack position (remap),CABLE DATA,CABLE_BladeTACK,Trimming value (N or m),
mizzen-preventer-load,mizzen-preventer-load,Mizzen Preventer sheet,CABLE DATA,CABLE_MIZZEN_PREVENTER,Load (N),
primary-winch-load,primary-winch-load,Jib sheet - Outboard,CABLE DATA,CABLE_JIBSHEET_OB,Load (N),
staysail-sheet-feeder-load,staysail-sheet-feeder-load,Staysail sheet,CABLE DATA,CABLE_staysail_SHEET,Load (N),
staysail-stay-adjuster-load,staysail-stay-adjuster-load,Staysail tack,CABLE DATA,CABLE_STAYSAIL_Tack,Load (N),
staysail-stay-adjuster-relative-position,staysail-stay-adjuster-relative-position,- Staysail tack (remap),CABLE DATA,CABLE_STAYSAIL_Tack,Trimming value (N or m),
mizzen-checkstay-load,mizzen-checkstay-load-ps,Mizzen checkstay,CABLE DATA,CABLE_MIZZ_CHECKSTAY,Load (N),
storm-jib-tack-load,storm-jib-tack-load,Storm jib tack,CABLE DATA,CABLE_Storm_Jib_SHEET,Load (N),
primary-winch-load,primary-winch-load,Storm jib sheet - outboard,CABLE DATA,CABLE_STORM_JIB_OB_SHEET,Load (N),
mizzen-checkstay-deflector-load,mizzen-checkstay-deflector-load,Mizzen checkstay deflector,CABLE DATA,CABLE_MIZZ_CHECKSTAY_DEFLECTOR,Load (N),
code-zero-tack-load,code-zero-tack-load,Mast head zero,CABLE DATA,CABLE_CODE_0_TACK,Load (N),
code-zero-tack-relative-position,code-zero-tack-relative-position,- Mast head zero tack position (remap),CABLE DATA,CABLE_CODE_0_TACK,Trimming value (N or m),
primary-winch-load,primary-winch-load,Mast head zero sheet load,CABLE DATA,CABLE_CODE_0_SHEET,Load (N),
fiber-optic-mizzen-v1-ps,fiber-optic-mizzen-v1-ps,Mizzen V1,CABLE DATA,CABLE_M_V1P,Load (N),
blade-tweaker-load,blade-tweaker-load,Jib tweaker,CABLE DATA,CABLE_BLADE_UP_DOWN,Load (N),
