Technical name (Loads app),value,Calculation ID,result column label,tws,twa
fiber-optic-mizzen-v1-sb,98147,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
fiber-optic-mizzen-v1-ps,339951,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
fiber-optic-mizzen-d1-sb,3674,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
fiber-optic-mizzen-d1-ps,134759,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
fiber-optic-mizzen-forestay,252530,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
fiber-optic-main-v1-sb,134022,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
fiber-optic-main-v1-ps,629273,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
fiber-optic-main-d1-sb,20248,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
fiber-optic-main-d1-ps,247917,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
mizzen-runner-ps-load,11214,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
mizzen-runner-sb-load,11214,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
mizzen-checkstay-ps-load,12552,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
mizzen-checkstay-sb-load,12552,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
mizzen-vang-load,51,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
mizzen-checkstay-deflector-load,2330,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
mizzen-checkstay-deflector-relative-position,2330,LC1-2_ B_FM_FMZ_TWA45_TWS14_RM22_20250306,Load (N) - After FSIC,14.0,-42.8
