Version date,22-9-2025,Revision nr,13,,,,,,,,,,,,,,
Simulation module,System,Pos,Sub,Component name,technical name,Type,Brand,Remarks,Material / description,"Voltage, capacity, power",Variable type,Variable,Included in simulation,Units,Modelica name,MQTT topic,MQTT key
,Buffer tanks,50001038,25,Temperature sensor Pt100 RTD,temp-buffer-exch-hvac,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Buffer tanks,50001038,26,Temperature sensor Pt100 RTD,temp-buffer-exch-converters,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Buffer tanks,50001038,27,Temperature sensor Pt100 RTD,temp-buffer-tank3,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Buffer tanks,50001038,44,Temperature sensor Pt100 RTD,temp-buffer-tank2,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Buffer tanks,50001038,45,Temperature sensor Pt100 RTD,temp-buffer-tank1,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Buffer tanks,50001038,46,Temperature sensor Pt100 RTD,temp-buffer-exch-prop-drives,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Buffer tanks,50001038,47,Temperature sensor Pt100 RTD,temp-buffer-tanks-return,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Buffer tanks,50001038,51,Temperature sensor Pt100 RTD,temp-buffer-exch-chiller-waste,TST310-B8A1C4G8B1A,iTHERM,Via Hart7,,,,Temperature,,,,,
,Buffer tanks,50001057,17,Flowsensor,flow-exch-buffer-tanks,SM6120,IFM,Via IO-Link,,,,Velocity,,,,,
,Buffer tanks,50001057,17,Flowsensor,flow-exch-buffer-tanks,SM6120,IFM,Via IO-Link,,,,Flow,,,,,
,Buffer tanks,50001057,17,Flowsensor,flow-exch-buffer-tanks,SM6120,IFM,Via IO-Link,,,,Direction,,,,,
,Buffer tanks,50001057,17,Flowsensor,flow-exch-buffer-tanks,SM6120,IFM,Via IO-Link,,,,Quantity,,,,,
,Buffer tanks,50001057,17,Flowsensor,flow-exch-buffer-tanks,SM6120,IFM,Via IO-Link,,,,Temperature,,,,,
,Buffer tanks,50001057,24,Flowsensor,flow-buffer-exch-prop-drives,SM6120,IFM,Via IO-Link,,,,Velocity,,,,,
,Buffer tanks,50001057,24,Flowsensor,flow-buffer-exch-prop-drives,SM6120,IFM,Via IO-Link,,,,Flow,,,,,
,Buffer tanks,50001057,24,Flowsensor,flow-buffer-exch-prop-drives,SM6120,IFM,Via IO-Link,,,,Direction,,,,,
