componentType,typeLabel,slotId,slotLabel,kind,valueKind,allowedFieldTypes,required
BoilerTank,Boiler tank,controllerState.controller,Controller › controller,controllerState,field,controller:dhwTanksController,true
BoilerTank,Boiler tank,custom.tankStateField,Custom › tankStateField,custom,literal,,true
BoilerTank,Boiler tank,parameters.enabled,parameters › enabled,parameter,field,parameter:enabled,true
BoilerTank,Boiler tank,parameters.maximumLevel,parameters › maximumLevel,parameter,field,parameter:level,true
BoilerTank,Boiler tank,parameters.maximumTemperature,parameters › maximumTemperature,parameter,field,parameter:temperature,true
BoilerTank,Boiler tank,parameters.minimumLevel,parameters › minimumLevel,parameter,field,parameter:level,true
BoilerTank,Boiler tank,parameters.minimumTemperature,parameters › minimumTemperature,parameter,field,parameter:temperature,true
BoilerTank,Boiler tank,sensors.boostingSupply,sensors › boostingSupply,sensor,field,sensor:temperature,true
BoilerTank,Boiler tank,sensors.boostReturnValve,sensors › boostReturnValve,sensor,field,sensor:valve,true
BoilerTank,Boiler tank,sensors.boostSupplyValve,sensors › boostSupplyValve,sensor,field,sensor:valve,true
BoilerTank,Boiler tank,sensors.dischargeValve,sensors › dischargeValve,sensor,field,sensor:valve,true
BoilerTank,Boiler tank,sensors.level,sensors › level,sensor,field,sensor:level,true
BoilerTank,Boiler tank,sensors.supplyValve,sensors › supplyValve,sensor,field,sensor:valve,true
BoilerTank,Boiler tank,sensors.temperature,sensors › temperature,sensor,field,sensor:temperature,true
BoilerTank,Boiler tank,source,Source,source,customSource,,true
CheckValve,Check valve,source,Source,source,customSource,,true
ExchangeCircuit,Exchange circuit,custom.circuitName,Custom › circuitName,custom,literal,,true
ExchangeCircuit,Exchange circuit,sensors.deltaT,sensors › deltaT,sensor,field,sensor:deltaT,true
ExchangeCircuit,Exchange circuit,sensors.flow,sensors › flow,sensor,field,sensor:flow,true
ExchangeCircuit,Exchange circuit,sensors.heatExchanger,sensors › heatExchanger,sensor,field,sensor:heatExchanger,true
ExchangeCircuit,Exchange circuit,sensors.incoming,sensors › incoming,sensor,field,sensor:temperature,true
ExchangeCircuit,Exchange circuit,sensors.outgoing,sensors › outgoing,sensor,field,sensor:temperature,true
ExchangeCircuit,Exchange circuit,source,Source,source,customSource,,true
FlowControlValve,Flow control valve,controllerState.controller,Controller › controller,controllerState,field,pidController,false
FlowControlValve,Flow control valve,controls.valve,controls › valve,control,field,control:valve,true
FlowControlValve,Flow control valve,custom.controller,Custom › controller,custom,controllerRef,,false
FlowControlValve,Flow control valve,parameters.flow,parameters › flow,parameter,field,parameter:tuning;parameter:flow,false
FlowControlValve,Flow control valve,sensors.measurement,sensors › measurement,sensor,field,sensor:flow,false
FlowControlValve,Flow control valve,source,Source,source,field,sensor:valve,true
FlowSensor,FlowSensor,controllerState.controller,Controller › controller,controllerState,field,pidController,false
FlowSensor,FlowSensor,controls.pump,controls › pump,control,field,control:pump,false
FlowSensor,FlowSensor,custom.controller,Custom › controller,custom,controllerRef,,false
FlowSensor,FlowSensor,parameters.flow,parameters › flow,parameter,field,parameter:flowcontrol;parameter:flow,false
FlowSensor,FlowSensor,sensors.measurement,sensors › measurement,sensor,field,sensor:flow;sensor:temperature,false
FlowSensor,FlowSensor,sensors.temperature,sensors › temperature,sensor,field,sensor:temperature,false
FlowSensor,FlowSensor,source,Source,source,field,sensor:flow,true
FreshwaterCircuit,Connecting circuit,sensors.flowIn,sensors › flowIn,sensor,field,sensor:flow;sensor:calculatedFlow,true
FreshwaterCircuit,Connecting circuit,sensors.flowOut,sensors › flowOut,sensor,field,sensor:flow;sensor:calculatedFlow,true
FreshwaterCircuit,Connecting circuit,sensors.tIn,sensors › tIn,sensor,field,sensor:temperature,true
FreshwaterCircuit,Connecting circuit,sensors.tOut,sensors › tOut,sensor,field,sensor:temperature,true
FreshwaterCircuit,Connecting circuit,source,Source,source,customSource,,true
HeatExchanger,Heat exchanger,custom.exchangeCircuit,Custom › exchangeCircuit,custom,instanceRef,,true
HeatExchanger,Heat exchanger,custom.sideA,Custom › sideA,custom,enum,,true
HeatExchanger,Heat exchanger,custom.sideB,Custom › sideB,custom,enum,,true
HeatExchanger,Heat exchanger,sensors.flow,sensors › flow,sensor,field,sensor:flow,true
HeatExchanger,Heat exchanger,sensors.incoming,sensors › incoming,sensor,field,sensor:temperature,true
