module,name,pidType,controllerField,setpointField,outputMinimumField
dhw,dcFlowController,temperature,dhwDcFlowController,fillingTemperatureSetpoint,dcFlowcontrolMinimumSetpoint
dhw,drivesFlowController,temperature,dhwDrivesFlowController,fillingTemperatureSetpoint,drivesFlowcontrolMinimumSetpoint
dhw,pumpFlowController,flow,dhwPumpFlowController,heatpumpFlowSetpoint,
dhw,pumpTemperatureController,flow,dhwPumpTemperatureController,heatpumpFlowSetpoint,
thrusters,heatDumpController,temperature,thrustersHeatDumpController,,
thrusters,warmupMixController,temperature,thrustersWarmupMixController,warmupTemperature,
thrusters,aftRecoveryTemperatureController,temperature,thrustersAftRecoveryTemperatureController,recoveryTemperature,
thrusters,fwdRecoveryTemperatureController,temperature,thrustersFwdRecoveryTemperatureController,recoveryTemperature,
thrusters,pumpController,flow,thrustersPumpController,,
thrusters,aftFlowController,flow,thrustersAftFlowController,,
thrusters,fwdFlowController,flow,thrustersFwdFlowController,,
