module,folder,instanceKey,componentType,title,tooltipTitle,tooltipComponentType,tooltipTechnicalName,slotId,slotLabel,kind,valueKind,fieldType,fieldName,sourceModule,customTitle,customYardTag,customTechnicalName,literalValue,refTarget,pidType,pidControllerField,pidSetpointField,pidOutputMinimumField,notes
dhw,assets,1035,HeatPump,Heatpump,Heat pump,Heat pump,,controls.heatpump,controls › heatpump,controls,field,control:heatpump,dhwHeatpump,dhw,,,,,,,,,,
dhw,assets,1035,HeatPump,Heatpump,Heat pump,Heat pump,,custom.controller,Custom › controller,custom,ref,,,,,,,,pumpFlowController,flow,dhwPumpFlowController,heatpumpFlowSetpoint,,
dhw,assets,1035,HeatPump,Heatpump,Heat pump,Heat pump,,sensors.incoming,sensors › incoming,sensors,field,sensor:temperature,dhwTemperatureBoostingReturn,dhw,,,,,,,,,,
dhw,assets,1035,HeatPump,Heatpump,Heat pump,Heat pump,,sensors.outgoing,sensors › outgoing,sensors,field,sensor:temperature,dhwTemperatureBoostingSupply,dhw,,,,,,,,,,
dhw,assets,1035,HeatPump,Heatpump,Heat pump,Heat pump,,source,Source,source,field,sensor:heatExchanger,dhwHeatpump,dhw,,,,,,,,,,
dhw,assets,41001001,HVAC,Hvac Exchanger,HVAC,HVAC Exchanger,,sensors.flow,sensors › flow,sensors,field,sensor:flow,dhwFlowDc,dhw,,,,,,,,,,
dhw,assets,41001001,HVAC,Hvac Exchanger,HVAC,HVAC Exchanger,,sensors.incoming,sensors › incoming,sensors,field,sensor:temperature,dhwTemperatureAdsorptionReturn,dhw,,,,,,,,,,
dhw,assets,41001001,HVAC,Hvac Exchanger,HVAC,HVAC Exchanger,,sensors.outgoing,sensors › outgoing,sensors,field,sensor:temperature,dhwTemperatureHvacExchangerReturn,dhw,,,,,,,,,,
dhw,assets,41001001,HVAC,Hvac Exchanger,HVAC,HVAC Exchanger,,source,Source,source,field,sensor:heatExchanger,dhwHvacExchanger,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,controllerState.controller,Controller › controller,controllerState,field,controller:dhwTanksController,dhwTanksController,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,custom.tankStateField,Custom › tankStateField,custom,literal,,,,,,,tank1State,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,parameters.enabled,parameters › enabled,parameters,field,parameter:enabled,tank1Enabled,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,parameters.maximumLevel,parameters › maximumLevel,parameters,field,parameter:level,maximumTankLevel,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,parameters.maximumTemperature,parameters › maximumTemperature,parameters,field,parameter:temperature,maximumTankTemperature,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,parameters.minimumLevel,parameters › minimumLevel,parameters,field,parameter:level,minimumTankLevel,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,parameters.minimumTemperature,parameters › minimumTemperature,parameters,field,parameter:temperature,minimumTankTemperature,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,sensors.boostingSupply,sensors › boostingSupply,sensors,field,sensor:temperature,dhwTemperatureBoostingSupply,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,sensors.boostReturnValve,sensors › boostReturnValve,sensors,field,sensor:valve,dhwSwitchTank1BoostingReturn,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,sensors.boostSupplyValve,sensors › boostSupplyValve,sensors,field,sensor:valve,dhwSwitchTank1BoostingSupply,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,sensors.dischargeValve,sensors › dischargeValve,sensors,field,sensor:valve,dhwSwitchTank1Outlet,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,sensors.level,sensors › level,sensors,field,sensor:level,dhwLevelTank1,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,sensors.supplyValve,sensors › supplyValve,sensors,field,sensor:valve,dhwSwitchTank1Inlet,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,sensors.temperature,sensors › temperature,sensors,field,sensor:temperature,dhwTemperatureTank1,dhw,,,,,,,,,,
dhw,boiler-tanks,1053,BoilerTank,Tank 1,,Hot water tank,,source,Source,source,custom,,,dhw,Tank 1,1053,hot-water-tank-1,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,controllerState.controller,Controller › controller,controllerState,field,controller:dhwTanksController,dhwTanksController,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,custom.tankStateField,Custom › tankStateField,custom,literal,,,,,,,tank2State,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,parameters.enabled,parameters › enabled,parameters,field,parameter:enabled,tank2Enabled,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,parameters.maximumLevel,parameters › maximumLevel,parameters,field,parameter:level,maximumTankLevel,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,parameters.maximumTemperature,parameters › maximumTemperature,parameters,field,parameter:temperature,maximumTankTemperature,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,parameters.minimumLevel,parameters › minimumLevel,parameters,field,parameter:level,minimumTankLevel,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,parameters.minimumTemperature,parameters › minimumTemperature,parameters,field,parameter:temperature,minimumTankTemperature,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,sensors.boostingSupply,sensors › boostingSupply,sensors,field,sensor:temperature,dhwTemperatureBoostingSupply,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,sensors.boostReturnValve,sensors › boostReturnValve,sensors,field,sensor:valve,dhwSwitchTank2BoostingReturn,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,sensors.boostSupplyValve,sensors › boostSupplyValve,sensors,field,sensor:valve,dhwSwitchTank2BoostingSupply,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,sensors.dischargeValve,sensors › dischargeValve,sensors,field,sensor:valve,dhwSwitchTank2Outlet,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,sensors.level,sensors › level,sensors,field,sensor:level,dhwLevelTank2,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,sensors.supplyValve,sensors › supplyValve,sensors,field,sensor:valve,dhwSwitchTank2Inlet,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,sensors.temperature,sensors › temperature,sensors,field,sensor:temperature,dhwTemperatureTank2,dhw,,,,,,,,,,
dhw,boiler-tanks,1054,BoilerTank,Tank 2,,Hot water tank,,source,Source,source,custom,,,dhw,Tank 2,1054,hot-water-tank-2,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,controllerState.controller,Controller › controller,controllerState,field,controller:dhwTanksController,dhwTanksController,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,custom.tankStateField,Custom › tankStateField,custom,literal,,,,,,,tank3State,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,parameters.enabled,parameters › enabled,parameters,field,parameter:enabled,tank3Enabled,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,parameters.maximumLevel,parameters › maximumLevel,parameters,field,parameter:level,maximumTankLevel,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,parameters.maximumTemperature,parameters › maximumTemperature,parameters,field,parameter:temperature,maximumTankTemperature,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,parameters.minimumLevel,parameters › minimumLevel,parameters,field,parameter:level,minimumTankLevel,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,parameters.minimumTemperature,parameters › minimumTemperature,parameters,field,parameter:temperature,minimumTankTemperature,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,sensors.boostingSupply,sensors › boostingSupply,sensors,field,sensor:temperature,dhwTemperatureBoostingSupply,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,sensors.boostReturnValve,sensors › boostReturnValve,sensors,field,sensor:valve,dhwSwitchTank3BoostingReturn,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,sensors.boostSupplyValve,sensors › boostSupplyValve,sensors,field,sensor:valve,dhwSwitchTank3BoostingSupply,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,sensors.dischargeValve,sensors › dischargeValve,sensors,field,sensor:valve,dhwSwitchTank3Outlet,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,sensors.level,sensors › level,sensors,field,sensor:level,dhwLevelTank3,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,sensors.supplyValve,sensors › supplyValve,sensors,field,sensor:valve,dhwSwitchTank3Inlet,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,sensors.temperature,sensors › temperature,sensors,field,sensor:temperature,dhwTemperatureTank3,dhw,,,,,,,,,,
dhw,boiler-tanks,1055,BoilerTank,Tank 3,,Hot water tank,,source,Source,source,custom,,,dhw,Tank 3,1055,hot-water-tank-3,,,,,,,
dhw,connecting-circuits,domestic,FreshwaterCircuit,,Fresh water,,fresh-water,sensors.flowIn,sensors › flowIn,sensors,field,sensor:flow,freshwaterHotwaterFlow,dhw,,,,,,,,,,
dhw,connecting-circuits,domestic,FreshwaterCircuit,,Fresh water,,fresh-water,sensors.flowOut,sensors › flowOut,sensors,field,sensor:calculatedFlow,dhwFreshwaterFlowSupply,dhw,,,,,,,,,,
dhw,connecting-circuits,domestic,FreshwaterCircuit,,Fresh water,,fresh-water,sensors.tIn,sensors › tIn,sensors,field,sensor:temperature,freshwaterHotwaterTemperature,dhw,,,,,,,,,,
dhw,connecting-circuits,domestic,FreshwaterCircuit,,Fresh water,,fresh-water,sensors.tOut,sensors › tOut,sensors,field,sensor:temperature,dhwTemperatureFreshwaterSupply,dhw,,,,,,,,,,
dhw,connecting-circuits,domestic,FreshwaterCircuit,,Fresh water,,fresh-water,source,Source,source,custom,,,dhw,,,fresh-water,,,,,,,
dhw,exchange-circuits,adsorption,ExchangeCircuit,Adsorption,,Exchange circuit,,custom.circuitName,Custom › circuitName,custom,literal,,,,,,,Adsorption circuit,,,,,,
dhw,exchange-circuits,adsorption,ExchangeCircuit,Adsorption,,Exchange circuit,,sensors.deltaT,sensors › deltaT,sensors,field,sensor:deltaT,adsorptionDelta,dhw,,,,,,,,,,
dhw,exchange-circuits,adsorption,ExchangeCircuit,Adsorption,,Exchange circuit,,sensors.flow,sensors › flow,sensors,field,sensor:flow,adsorptionFlowDhw,dhw,,,,,,,,,,
dhw,exchange-circuits,adsorption,ExchangeCircuit,Adsorption,,Exchange circuit,,sensors.heatExchanger,sensors › heatExchanger,sensors,field,sensor:heatExchanger,dhwAdsorptionExchanger,dhw,,,,,,,,,,
dhw,exchange-circuits,adsorption,ExchangeCircuit,Adsorption,,Exchange circuit,,sensors.incoming,sensors › incoming,sensors,field,sensor:temperature,adsorptionTemperatureWasteReturn,dhw,,,,,,,,,,
dhw,exchange-circuits,adsorption,ExchangeCircuit,Adsorption,,Exchange circuit,,sensors.outgoing,sensors › outgoing,sensors,field,sensor:temperature,adsorptionTemperatureDhwReturn,dhw,,,,,,,,,,
dhw,exchange-circuits,adsorption,ExchangeCircuit,Adsorption,,Exchange circuit,,source,Source,source,custom,,,dhw,Adsorption,,adsorption,,,,,,,
dhw,exchange-circuits,brightloop,ExchangeCircuit,DC converters,,Exchange circuit,,custom.circuitName,Custom › circuitName,custom,literal,,,,,,,DC Converters,,,,,,
dhw,exchange-circuits,brightloop,ExchangeCircuit,DC converters,,Exchange circuit,,sensors.deltaT,sensors › deltaT,sensors,field,sensor:deltaT,dcDelta,dhw,,,,,,,,,,
dhw,exchange-circuits,brightloop,ExchangeCircuit,DC converters,,Exchange circuit,,sensors.flow,sensors › flow,sensors,field,sensor:flow,dcFlowRecovery,dhw,,,,,,,,,,
dhw,exchange-circuits,brightloop,ExchangeCircuit,DC converters,,Exchange circuit,,sensors.heatExchanger,sensors › heatExchanger,sensors,field,sensor:heatExchanger,dhwDcExchanger,dhw,,,,,,,,,,
dhw,exchange-circuits,brightloop,ExchangeCircuit,DC converters,,Exchange circuit,,sensors.incoming,sensors › incoming,sensors,field,sensor:temperature,dcTemperatureRecovery,dhw,,,,,,,,,,
dhw,exchange-circuits,brightloop,ExchangeCircuit,DC converters,,Exchange circuit,,sensors.outgoing,sensors › outgoing,sensors,field,sensor:temperature,dcTemperatureRecoveryReturn,dhw,,,,,,,,,,
dhw,exchange-circuits,brightloop,ExchangeCircuit,DC converters,,Exchange circuit,,source,Source,source,custom,,,dhw,DC converters,,dc-converters,,,,,,,
dhw,exchange-circuits,drives,ExchangeCircuit,Drives & shore,,Exchange circuit,,custom.circuitName,Custom › circuitName,custom,literal,,,,,,,Drives & shore,,,,,,
dhw,exchange-circuits,drives,ExchangeCircuit,Drives & shore,,Exchange circuit,,sensors.deltaT,sensors › deltaT,sensors,field,sensor:deltaT,drivesDelta,dhw,,,,,,,,,,
dhw,exchange-circuits,drives,ExchangeCircuit,Drives & shore,,Exchange circuit,,sensors.flow,sensors › flow,sensors,field,sensor:flow,drivesFlowRecovery,dhw,,,,,,,,,,
dhw,exchange-circuits,drives,ExchangeCircuit,Drives & shore,,Exchange circuit,,sensors.heatExchanger,sensors › heatExchanger,sensors,field,sensor:heatExchanger,dhwDrivesExchanger,dhw,,,,,,,,,,
dhw,exchange-circuits,drives,ExchangeCircuit,Drives & shore,,Exchange circuit,,sensors.incoming,sensors › incoming,sensors,field,sensor:temperature,drivesTemperatureRecovery,dhw,,,,,,,,,,
dhw,exchange-circuits,drives,ExchangeCircuit,Drives & shore,,Exchange circuit,,sensors.outgoing,sensors › outgoing,sensors,field,sensor:temperature,drivesTemperatureRecoveryReturn,dhw,,,,,,,,,,
dhw,exchange-circuits,drives,ExchangeCircuit,Drives & shore,,Exchange circuit,,source,Source,source,custom,,,dhw,Drives & shore,,drives-and-shore,,,,,,,
dhw,exchange-circuits,highTempLoop,ExchangeCircuit,High temperature,,Exchange circuit,,custom.circuitName,Custom › circuitName,custom,literal,,,,,,,High temperature,,,,,,
dhw,exchange-circuits,highTempLoop,ExchangeCircuit,High temperature,,Exchange circuit,,sensors.deltaT,sensors › deltaT,sensors,field,sensor:deltaT,consumersDelta,dhw,,,,,,,,,,
dhw,exchange-circuits,highTempLoop,ExchangeCircuit,High temperature,,Exchange circuit,,sensors.flow,sensors › flow,sensors,field,sensor:flow,consumersFlowDhw,dhw,,,,,,,,,,
dhw,exchange-circuits,highTempLoop,ExchangeCircuit,High temperature,,Exchange circuit,,sensors.heatExchanger,sensors › heatExchanger,sensors,field,sensor:heatExchanger,dhwHeatpump,dhw,,,,,,,,,,
dhw,exchange-circuits,highTempLoop,ExchangeCircuit,High temperature,,Exchange circuit,,sensors.incoming,sensors › incoming,sensors,field,sensor:temperature,consumersTemperatureDhwSupply,dhw,,,,,,,,,,
dhw,exchange-circuits,highTempLoop,ExchangeCircuit,High temperature,,Exchange circuit,,sensors.outgoing,sensors › outgoing,sensors,field,sensor:temperature,consumersTemperatureDhwReturn,dhw,,,,,,,,,,
dhw,exchange-circuits,highTempLoop,ExchangeCircuit,High temperature,,Exchange circuit,,source,Source,source,custom,,,dhw,High temperature,,high-temperature,,,,,,,
dhw,flow-control-valves,1064-03,FlowControlValve,Flowcontrol Dc,Flow control valve,Flow control valve DN 20,,controls.valve,controls › valve,controls,field,control:valve,dhwFlowcontrolDc,dhw,,,,,,,,,,
dhw,flow-control-valves,1064-03,FlowControlValve,Flowcontrol Dc,Flow control valve,Flow control valve DN 20,,custom.controller,Custom › controller,custom,ref,,,,,,,,dcFlowController,temperature,dhwDcFlowController,fillingTemperatureSetpoint,dcFlowcontrolMinimumSetpoint,
dhw,flow-control-valves,1064-03,FlowControlValve,Flowcontrol Dc,Flow control valve,Flow control valve DN 20,,source,Source,source,field,sensor:valve,dhwFlowcontrolDc,dhw,,,,,,,,,,
dhw,flow-control-valves,1064-08,FlowControlValve,Flowcontrol Drives,Flow control valve,Flow control valve DN 20,,controls.valve,controls › valve,controls,field,control:valve,dhwFlowcontrolDrives,dhw,,,,,,,,,,
dhw,flow-control-valves,1064-08,FlowControlValve,Flowcontrol Drives,Flow control valve,Flow control valve DN 20,,custom.controller,Custom › controller,custom,ref,,,,,,,,drivesFlowController,temperature,dhwDrivesFlowController,fillingTemperatureSetpoint,drivesFlowcontrolMinimumSetpoint,
dhw,flow-control-valves,1064-08,FlowControlValve,Flowcontrol Drives,Flow control valve,Flow control valve DN 20,,source,Source,source,field,sensor:valve,dhwFlowcontrolDrives,dhw,,,,,,,,,,
dhw,flow-sensors,1057-17,FlowSensor,Flow Dc,Flow sensor,Flow sensor,,controls.pump,controls › pump,controls,field,control:pump,dhwPump,dhw,,,,,,,,,,
