module,folder,key,title,componentType
dhw,assets,1035,Heatpump,HeatPump
dhw,assets,41001001,Hvac Exchanger,HVAC
dhw,boiler-tanks,1053,Tank 1,BoilerTank
dhw,boiler-tanks,1054,Tank 2,BoilerTank
dhw,boiler-tanks,1055,Tank 3,BoilerTank
dhw,connecting-circuits,domestic,,FreshwaterCircuit
dhw,exchange-circuits,adsorption,Adsorption,ExchangeCircuit
dhw,exchange-circuits,brightloop,DC converters,ExchangeCircuit
dhw,exchange-circuits,drives,Drives & shore,ExchangeCircuit
dhw,exchange-circuits,highTempLoop,High temperature,ExchangeCircuit
dhw,flow-control-valves,1064-03,Flowcontrol Dc,FlowControlValve
dhw,flow-control-valves,1064-08,Flowcontrol Drives,FlowControlValve
dhw,flow-sensors,1057-17,Flow Dc,FlowSensor
dhw,flow-sensors,1057-24,Flow Drives,FlowSensor
dhw,flow-sensors,1058-11,Flow Boosting,FlowSensor
dhw,heat-exchangers,1004,Adsorption Exchanger,HeatExchanger
dhw,heat-exchangers,1007,Consumers Exchanger,HeatExchanger
dhw,heat-exchangers,1008,Dc Exchanger,HeatExchanger
dhw,heat-exchangers,1009,Drives Exchanger,HeatExchanger
dhw,level-sensors,1056-01,Level Tank1,LevelSensor
dhw,level-sensors,1056-02,Level Tank2,LevelSensor
dhw,level-sensors,1056-03,Level Tank3,LevelSensor
dhw,level-switches,1098-01,Level Switch Tank1,LevelSwitch
dhw,level-switches,1098-02,Level Switch Tank2,LevelSwitch
dhw,level-switches,1098-03,Level Switch Tank3,LevelSwitch
dhw,manual-valves,1069-10,,ManualValve
dhw,manual-valves,1069-17,,ManualValve
dhw,manual-valves,1069-18,,ManualValve
dhw,manual-valves,1168-04,,ManualValve
dhw,manual-valves,1168-05,,ManualValve
dhw,manual-valves,1168-06,,ManualValve
dhw,manual-valves,1169-01,,ManualValve
dhw,manual-valves,1169-02,,ManualValve
dhw,manual-valves,1169-03,,ManualValve
dhw,manual-valves,1174-01,,ManualValve
dhw,manual-valves,1174-02,,ManualValve
dhw,pressure-sensors,1095-14,,PressureGauge
dhw,pressure-sensors,1097-11,Pressure,PressureSensor
dhw,pumps,1022,Pump,Pump
dhw,switch-valves,1067-03,Switch Tank3 Inlet,SwitchValve
dhw,switch-valves,1067-04,Switch Tank3 Boosting Return,SwitchValve
dhw,switch-valves,1067-05,Switch Tank3 Outlet,SwitchValve
dhw,switch-valves,1067-06,Switch Tank3 Boosting Supply,SwitchValve
dhw,switch-valves,1067-07,Switch Tank2 Inlet,SwitchValve
dhw,switch-valves,1067-08,Switch Tank2 Boosting Return,SwitchValve
dhw,switch-valves,1067-09,Switch Tank2 Outlet,SwitchValve
dhw,switch-valves,1067-10,Switch Tank2 Boosting Supply,SwitchValve
dhw,switch-valves,1067-11,Switch Tank1 Inlet,SwitchValve
dhw,switch-valves,1067-12,Switch Tank1 Boosting Return,SwitchValve
dhw,switch-valves,1067-13,Switch Tank1 Outlet,SwitchValve
dhw,switch-valves,1067-14,Switch Tank1 Boosting Supply,SwitchValve
dhw,switch-valves,1067-16,Switch Low Temperature,SwitchValve
dhw,switch-valves,1067-17,Switch Heatpump,SwitchValve
dhw,switch-valves,1067-18,Switch High Temperature,SwitchValve
dhw,temperature-sensors,1038-25,Temperature Hvac Exchanger Return,TemperatureSensor
dhw,temperature-sensors,1038-26,Temperature Dc Return,TemperatureSensor
dhw,temperature-sensors,1038-27,Temperature Tank3,TemperatureSensor
dhw,temperature-sensors,1038-44,Temperature Tank2,TemperatureSensor
dhw,temperature-sensors,1038-45,Temperature Tank1,TemperatureSensor
dhw,temperature-sensors,1038-46,Temperature Drives Return,TemperatureSensor
dhw,temperature-sensors,1038-47,Temperature Freshwater Supply,TemperatureSensor
dhw,temperature-sensors,1038-51,Temperature Adsorption Return,TemperatureSensor
dhw,temperature-sensors,1038-65,Temperature Boosting Return,TemperatureSensor
dhw,temperature-sensors,1038-66,Temperature Boosting Supply,TemperatureSensor
thrusters,check-valves,1213-01,,CheckValve
thrusters,check-valves,1213-02,,CheckValve
thrusters,check-valves,1217-01,,CheckValve
thrusters,check-valves,1217-02,,CheckValve
thrusters,exchange-circuits,pcm,,FreshwaterCircuit
thrusters,exchange-circuits,seawater,,ExchangeCircuit
thrusters,flow-control-valves,1064-02,Flowcontrol Fwd,FlowControlValve
thrusters,flow-control-valves,1215,Flowcontrol Aft,FlowControlValve
thrusters,flow-sensors,1057-22,Flow Fwd,FlowSensor
thrusters,flow-sensors,1218-01,Flow Recovery,FlowSensor
thrusters,flow-sensors,1218-02,Flow Aft,FlowSensor
thrusters,heat-exchangers,1001,Seawater Exchanger,HeatExchanger
thrusters,manual-valves,1084-01,,ManualValve
thrusters,manual-valves,1087-08,,ManualValve
thrusters,manual-valves,1212-01,,ManualValve
thrusters,manual-valves,1212-02,,ManualValve
thrusters,manual-valves,1212-03,,ManualValve
thrusters,manual-valves,1212-04,,ManualValve
thrusters,manual-valves,1212-05,,ManualValve
thrusters,manual-valves,1212-06,,ManualValve
thrusters,manual-valves,1212-07,,ManualValve
thrusters,manual-valves,1087-03,,ManualValve
thrusters,mix-valves,1074,Mix Recovery,MixValve
thrusters,mix-valves,1091-01,Switch Aft,ThreeWaySwitchValve
thrusters,mix-valves,1091-02,Switch Fwd,ThreeWaySwitchValve
thrusters,mix-valves,1214-01,Mix Exchanger,MixValve
thrusters,pressure-sensors,1095-01,,PressureGauge
thrusters,pressure-sensors,1097-01,Pressure Discharge,PressureSensor
thrusters,pressure-sensors,1097-02,Pressure System,PressureSensor
thrusters,pumps,1194,Pump1,Pump
thrusters,pumps,1195,Pump2,Pump
thrusters,switch-valves,1066-03,Switch Recovery,SwitchValve
thrusters,switch-valves,1091-01,Switch Aft,SwitchValve
thrusters,switch-valves,1091-02,Switch Fwd,SwitchValve
thrusters,temperature-sensors,1038-01,Temperature Aft,TemperatureSensor
thrusters,temperature-sensors,1038-02,Temperature Fwd,TemperatureSensor
thrusters,temperature-sensors,1038-28,Temperature Supply,TemperatureSensor
thrusters,temperature-sensors,1038-30,Temperature Recovery Mix,TemperatureSensor
