module,folder,key,title,componentType,typeLabel,slotId,slotLabel,kind,valueKind,allowedFieldTypes,required,value,srcTitle,srcYardTag,notes
dhw,assets,1035,Heatpump,HeatPump,Heat pump,source,Source,source,,sensor:heatExchanger,true,dhwHeatpump,,,
dhw,assets,1035,Heatpump,HeatPump,Heat pump,sensors.incoming,sensors › incoming,sensors,,sensor:temperature,true,dhwTemperatureBoostingReturn,,,
dhw,assets,1035,Heatpump,HeatPump,Heat pump,sensors.outgoing,sensors › outgoing,sensors,,sensor:temperature,true,dhwTemperatureBoostingSupply,,,
dhw,assets,1035,Heatpump,HeatPump,Heat pump,controls.heatpump,controls › heatpump,controls,,control:heatpump,true,dhwHeatpump,,,
dhw,assets,1035,Heatpump,HeatPump,Heat pump,custom.controller,Custom › controller,custom,controllerRef,,false,@controller:pumpFlowController,,,
dhw,assets,41001001,Hvac Exchanger,HVAC,HVAC,source,Source,source,,sensor:heatExchanger,true,dhwHvacExchanger,,,
dhw,assets,41001001,Hvac Exchanger,HVAC,HVAC,sensors.incoming,sensors › incoming,sensors,,sensor:temperature,true,dhwTemperatureAdsorptionReturn,,,
dhw,assets,41001001,Hvac Exchanger,HVAC,HVAC,sensors.outgoing,sensors › outgoing,sensors,,sensor:temperature,true,dhwTemperatureHvacExchangerReturn,,,
dhw,assets,41001001,Hvac Exchanger,HVAC,HVAC,sensors.flow,sensors › flow,sensors,,sensor:flow,true,dhwFlowDc,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,source,Source,source,,,true,hot-water-tank-1,Tank 1,1053,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,sensors.level,sensors › level,sensors,,sensor:level,true,dhwLevelTank1,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,sensors.temperature,sensors › temperature,sensors,,sensor:temperature,true,dhwTemperatureTank1,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,sensors.boostingSupply,sensors › boostingSupply,sensors,,sensor:temperature,true,dhwTemperatureBoostingSupply,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,sensors.boostSupplyValve,sensors › boostSupplyValve,sensors,,sensor:valve,true,dhwSwitchTank1BoostingSupply,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,sensors.boostReturnValve,sensors › boostReturnValve,sensors,,sensor:valve,true,dhwSwitchTank1BoostingReturn,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,sensors.supplyValve,sensors › supplyValve,sensors,,sensor:valve,true,dhwSwitchTank1Inlet,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,sensors.dischargeValve,sensors › dischargeValve,sensors,,sensor:valve,true,dhwSwitchTank1Outlet,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,parameters.minimumLevel,parameters › minimumLevel,parameters,,parameter:level,true,minimumTankLevel,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,parameters.maximumLevel,parameters › maximumLevel,parameters,,parameter:level,true,maximumTankLevel,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,parameters.minimumTemperature,parameters › minimumTemperature,parameters,,parameter:temperature,true,minimumTankTemperature,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,parameters.maximumTemperature,parameters › maximumTemperature,parameters,,parameter:temperature,true,maximumTankTemperature,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,parameters.enabled,parameters › enabled,parameters,,parameter:enabled,true,tank1Enabled,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,controllerState.controller,Controller › controller,controllerState,,controller:dhwTanksController,true,dhwTanksController,,,
dhw,boiler-tanks,1053,Tank 1,BoilerTank,Boiler tank,custom.tankStateField,Custom › tankStateField,custom,customSource,,true,tank1State,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,source,Source,source,,,true,hot-water-tank-2,Tank 2,1054,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,sensors.level,sensors › level,sensors,,sensor:level,true,dhwLevelTank2,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,sensors.temperature,sensors › temperature,sensors,,sensor:temperature,true,dhwTemperatureTank2,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,sensors.boostingSupply,sensors › boostingSupply,sensors,,sensor:temperature,true,dhwTemperatureBoostingSupply,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,sensors.boostSupplyValve,sensors › boostSupplyValve,sensors,,sensor:valve,true,dhwSwitchTank2BoostingSupply,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,sensors.boostReturnValve,sensors › boostReturnValve,sensors,,sensor:valve,true,dhwSwitchTank2BoostingReturn,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,sensors.supplyValve,sensors › supplyValve,sensors,,sensor:valve,true,dhwSwitchTank2Inlet,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,sensors.dischargeValve,sensors › dischargeValve,sensors,,sensor:valve,true,dhwSwitchTank2Outlet,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,parameters.minimumLevel,parameters › minimumLevel,parameters,,parameter:level,true,minimumTankLevel,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,parameters.maximumLevel,parameters › maximumLevel,parameters,,parameter:level,true,maximumTankLevel,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,parameters.minimumTemperature,parameters › minimumTemperature,parameters,,parameter:temperature,true,minimumTankTemperature,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,parameters.maximumTemperature,parameters › maximumTemperature,parameters,,parameter:temperature,true,maximumTankTemperature,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,parameters.enabled,parameters › enabled,parameters,,parameter:enabled,true,tank2Enabled,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,controllerState.controller,Controller › controller,controllerState,,controller:dhwTanksController,true,dhwTanksController,,,
dhw,boiler-tanks,1054,Tank 2,BoilerTank,Boiler tank,custom.tankStateField,Custom › tankStateField,custom,customSource,,true,tank2State,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,source,Source,source,,,true,hot-water-tank-3,Tank 3,1055,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,sensors.level,sensors › level,sensors,,sensor:level,true,dhwLevelTank3,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,sensors.temperature,sensors › temperature,sensors,,sensor:temperature,true,dhwTemperatureTank3,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,sensors.boostingSupply,sensors › boostingSupply,sensors,,sensor:temperature,true,dhwTemperatureBoostingSupply,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,sensors.boostSupplyValve,sensors › boostSupplyValve,sensors,,sensor:valve,true,dhwSwitchTank3BoostingSupply,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,sensors.boostReturnValve,sensors › boostReturnValve,sensors,,sensor:valve,true,dhwSwitchTank3BoostingReturn,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,sensors.supplyValve,sensors › supplyValve,sensors,,sensor:valve,true,dhwSwitchTank3Inlet,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,sensors.dischargeValve,sensors › dischargeValve,sensors,,sensor:valve,true,dhwSwitchTank3Outlet,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,parameters.minimumLevel,parameters › minimumLevel,parameters,,parameter:level,true,minimumTankLevel,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,parameters.maximumLevel,parameters › maximumLevel,parameters,,parameter:level,true,maximumTankLevel,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,parameters.minimumTemperature,parameters › minimumTemperature,parameters,,parameter:temperature,true,minimumTankTemperature,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,parameters.maximumTemperature,parameters › maximumTemperature,parameters,,parameter:temperature,true,maximumTankTemperature,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,parameters.enabled,parameters › enabled,parameters,,parameter:enabled,true,tank3Enabled,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,controllerState.controller,Controller › controller,controllerState,,controller:dhwTanksController,true,dhwTanksController,,,
dhw,boiler-tanks,1055,Tank 3,BoilerTank,Boiler tank,custom.tankStateField,Custom › tankStateField,custom,customSource,,true,tank3State,,,
dhw,connecting-circuits,domestic,,FreshwaterCircuit,Connecting circuit,source,Source,source,,,true,fresh-water,,,
dhw,connecting-circuits,domestic,,FreshwaterCircuit,Connecting circuit,sensors.flowIn,sensors › flowIn,sensors,,sensor:flow;sensor:calculatedFlow,true,freshwaterHotwaterFlow,,,
