module,section,field,componentType,valveType,yardTag,technicalName,friendlyName
thrusters,sensorValues,thrustersPump1,sensor:pump,,50001194,thrusters-pump1,Pump1
thrusters,sensorValues,thrustersPump2,sensor:pump,,50001195,thrusters-pump2,Pump2
thrusters,sensorValues,thrustersTemperatureAft,sensor:temperature,,50001038-01,thrusters-temperature-aft,TemperatureAft
thrusters,sensorValues,thrustersTemperatureFwd,sensor:temperature,,50001038-02,thrusters-temperature-fwd,TemperatureFwd
thrusters,sensorValues,thrustersTemperatureSupply,sensor:temperature,,50001038-28,thrusters-temperature-supply,TemperatureSupply
thrusters,sensorValues,thrustersTemperatureRecoveryMix,sensor:temperature,,50001038-30,thrusters-temperature-recovery-mix,TemperatureRecoveryMix
thrusters,sensorValues,thrustersMixRecovery,sensor:valve,mix,50001074,thrusters-mix-recovery,MixRecovery
thrusters,sensorValues,thrustersMixExchanger,sensor:valve,mix,50001214-01,thrusters-mix-exchanger,MixExchanger
thrusters,sensorValues,thrustersFlowFwd,sensor:flow,,50001057-22,thrusters-flow-fwd,FlowFwd
thrusters,sensorValues,thrustersFlowAft,sensor:flow,,50001218-02,thrusters-flow-aft,FlowAft
thrusters,sensorValues,thrustersFlowcontrolAft,sensor:valve,flowcontrol,50001215,thrusters-flowcontrol-aft,FlowcontrolAft
thrusters,sensorValues,thrustersFlowcontrolFwd,sensor:valve,flowcontrol,50001064-02,thrusters-flowcontrol-fwd,FlowcontrolFwd
thrusters,sensorValues,thrustersSwitchRecovery,sensor:valve,switch,50001066-03,thrusters-switch-recovery,SwitchRecovery
thrusters,sensorValues,thrustersSwitchAft,sensor:valve,switch,50001091-01,thrusters-switch-aft,SwitchAft
thrusters,sensorValues,thrustersSwitchFwd,sensor:valve,switch,50001091-02,thrusters-switch-fwd,SwitchFwd
thrusters,sensorValues,thrustersFlowRecovery,sensor:flow,,50001218-01,thrusters-flow-recovery,FlowRecovery
thrusters,sensorValues,thrustersPressureDischarge,sensor:pressure,,50001097-01,thrusters-pressure-discharge,PressureDischarge
thrusters,sensorValues,thrustersPressureSystem,sensor:pressure,,50001097-02,thrusters-pressure-system,PressureSystem
thrusters,sensorValues,thrustersThrusterAft,sensor:thruster,,15001001,thrusters-thruster-aft,ThrusterAft
thrusters,sensorValues,thrustersThrusterFwd,sensor:thruster,,15001002,thrusters-thruster-fwd,ThrusterFwd
thrusters,sensorValues,thrustersPcs,sensor:pcs,,1500,thrusters-pcs,Pcs
thrusters,sensorValues,thrustersTemperatureRecovery,sensor:calculatedTemperature,,,thrusters-temperature-recovery,TemperatureRecovery
thrusters,sensorValues,thrustersTemperaturePreCooler,sensor:calculatedTemperature,,,thrusters-temperature-pre-cooler,TemperaturePreCooler
thrusters,sensorValues,thrustersFlow,sensor:calculatedFlow,,,thrusters-flow,Flow
thrusters,sensorValues,thrustersSeawaterExchanger,sensor:heatExchanger,,50001001,thrusters-seawater-exchanger,SeawaterExchanger
thrusters,controlValues,thrustersPump1,control:pump,,50001194,thrusters-pump1,Pump1
thrusters,controlValues,thrustersPump2,control:pump,,50001195,thrusters-pump2,Pump2
thrusters,controlValues,thrustersMixRecovery,control:valve,mix,50001074,thrusters-mix-recovery,MixRecovery
thrusters,controlValues,thrustersMixExchanger,control:valve,mix,50001214-01,thrusters-mix-exchanger,MixExchanger
thrusters,controlValues,thrustersFlowcontrolAft,control:valve,flowcontrol,50001215,thrusters-flowcontrol-aft,FlowcontrolAft
thrusters,controlValues,thrustersFlowcontrolFwd,control:valve,flowcontrol,50001064-02,thrusters-flowcontrol-fwd,FlowcontrolFwd
thrusters,controlValues,thrustersSwitchRecovery,control:valve,switch,50001066-03,thrusters-switch-recovery,SwitchRecovery
thrusters,controlValues,thrustersSwitchAft,control:valve,switch,50001091-01,thrusters-switch-aft,SwitchAft
thrusters,controlValues,thrustersSwitchFwd,control:valve,switch,50001091-02,thrusters-switch-fwd,SwitchFwd
thrusters,parameters,maximumSupplyTemperature,parameter:temperature,,,maximum-supply-temperature,MaximumSupplyTemperature
thrusters,parameters,coolingTemperature,parameter:temperature,,,cooling-temperature,CoolingTemperature
thrusters,parameters,coolingFlow,parameter:flow,,,cooling-flow,CoolingFlow
thrusters,parameters,recoveryTemperature,parameter:temperature,,,recovery-temperature,RecoveryTemperature
thrusters,parameters,warmupTemperature,parameter:temperature,,,warmup-temperature,WarmupTemperature
thrusters,parameters,thrustersMinimumFlow,parameter:flow,,,thrusters-minimum-flow,MinimumFlow
thrusters,parameters,thrustersMaximumFlow,parameter:flow,,,thrusters-maximum-flow,MaximumFlow
thrusters,parameters,pumpTuning,parameter:tuning,,,pump-tuning,PumpTuning
thrusters,parameters,warmupMixTuning,parameter:tuning,,,warmup-mix-tuning,WarmupMixTuning
thrusters,parameters,heatDumpTuning,parameter:tuning,,,heat-dump-tuning,HeatDumpTuning
thrusters,parameters,aftFlowBalanceTuning,parameter:tuning,,,aft-flow-balance-tuning,AftFlowBalanceTuning
thrusters,parameters,fwdFlowBalanceTuning,parameter:tuning,,,fwd-flow-balance-tuning,FwdFlowBalanceTuning
